#Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress
#	MPa		MPa		MPa		MPa		MPa		MPa		MPa		MPa		MPa		MPa		MPa		MPa
#	FCC111		FCC311		BCC110		BCC211		BCC200		FCC200		FCC220		FCC331		BCC321		BCC220		FCC222		FCC400
0	1.355189561	0	1.355189561	0	1.355189561	0	1.355189561	0	1.355189561	0	1.355189561	0	1.355189561	0	1.355189561	0	1.355189561	0	1.355189561	0	1.355189561	0	1.355189561
4.33E-6	1.350285001	8.21E-5	1.350285001	-1.77407E-4	1.350285001	2.57E-6	1.350285001	7.38118E-4	1.350285001	4E-5	1.350285001	5.03E-5	1.350285001	-5.69E-5	1.350285001	6.28E-5	1.350285001	-2.13489E-4	1.350285001	-1.59893E-4	1.350285001	2.13123E-4	1.350285001
-1.36791E-4	26.24577279	-5.16E-5	26.24577279	-1.9075E-4	26.24577279	-1.97825E-4	26.24577279	5.37772E-4	26.24577279	-2.60743E-4	26.24577279	-4.25E-5	26.24577279	-1.27192E-4	26.24577279	-2.8113E-4	26.24577279	-2.21396E-4	26.24577279	3.37E-5	26.24577279	-2.84164E-4	26.24577279
-2.47572E-4	77.15403247	-3.00641E-4	77.15403247	-3.0688E-4	77.15403247	-2.70618E-4	77.15403247	1.22317E-4	77.15403247	-4.31977E-4	77.15403247	-1.87969E-4	77.15403247	-2.73766E-4	77.15403247	-3.72661E-4	77.15403247	-3.18257E-4	77.15403247	-1.39665E-4	77.15403247	-2.81944E-4	77.15403247
-3.05852E-4	127.4250782	-5.15517E-4	127.4250782	-2.08046E-4	127.4250782	-3.33135E-4	127.4250782	0.001240742	127.4250782	-6.06547E-4	127.4250782	-3.35042E-4	127.4250782	-4.71217E-4	127.4250782	-6.23717E-4	127.4250782	-5.75235E-4	127.4250782	-3.61203E-4	127.4250782	-4.95068E-4	127.4250782
-4.1278E-4	177.0456321	-4.26062E-4	177.0456321	-5.89546E-4	177.0456321	-5.60934E-4	177.0456321	-2.79782E-4	177.0456321	-5.27602E-4	177.0456321	-4.27847E-4	177.0456321	-5.01501E-4	177.0456321	-5.11265E-4	177.0456321	-6.94829E-4	177.0456321	-2.88E-4	177.0456321	-5.87199E-4	177.0456321
-4.86955E-4	228.3970302	-5.09984E-4	228.3970302	-6.68613E-4	228.3970302	-6.10604E-4	228.3970302	6.68E-5	228.3970302	-7.54988E-4	228.3970302	-4.57733E-4	228.3970302	-5.99621E-4	228.3970302	-5.60953E-4	228.3970302	-8.65818E-4	228.3970302	-4.12254E-4	228.3970302	-5.92749E-4	228.3970302
-5.12965E-4	278.6163555	-6.86127E-4	278.6163555	-7.01228E-4	278.6163555	-6.97099E-4	278.6163555	-4.23891E-4	278.6163555	-7.32749E-4	278.6163555	-5.64694E-4	278.6163555	-6.02043E-4	278.6163555	-7.75397E-4	278.6163555	-8.72737E-4	278.6163555	-4.39223E-4	278.6163555	-0.001092257	278.6163555
-5.56314E-4	328.1309773	-7.15637E-4	328.1309773	-9.25582E-4	328.1309773	-7.43344E-4	328.1309773	-4.50604E-4	328.1309773	-0.001101904	328.1309773	-6.284E-4	328.1309773	-7.25602E-4	328.1309773	-8.6562E-4	328.1309773	-9.64656E-4	328.1309773	-4.30555E-4	328.1309773	-9.40185E-4	328.1309773
-6.15076E-4	379.861122	-8.46592E-4	379.861122	-7.70906E-4	379.861122	-8.38403E-4	379.861122	-9.18079E-4	379.861122	-0.00110524	379.861122	-7.62888E-4	379.861122	-7.46195E-4	379.861122	-9.92455E-4	379.861122	-8.91516E-4	379.861122	-6.30902E-4	379.861122	-0.001420822	379.861122
