	FCC			BCC
     0.000       0.000
   107.222     103.573
   217.526     213.642
   326.521     327.097
   439.682     439.562
   552.154     549.078
   660.531     655.119
   766.773     760.363
   871.151     866.111
   967.908     963.949
  1051.884    1053.911
  1116.978    1124.022
  1162.899    1177.208
  1193.808    1213.912
  1216.120    1242.786
  1234.011    1267.244
  1250.157    1291.416
  1264.377    1314.670
  1275.782    1334.582
  1284.670    1352.530
  1292.609    1369.826
  1299.917    1386.086
  1306.765    1402.165
  1313.000    1417.614
  1318.505    1432.377
  1323.384    1446.643
  1327.942    1460.550
  1332.138    1473.818
  1336.107    1486.954
  1339.959    1499.579
  1343.531    1512.087
  1346.836    1524.252
  1349.985    1535.947
  1352.957    1547.198
  1355.646    1558.090
  1358.507    1568.846
  1361.126    1579.214
  1363.552    1589.276
  1365.958    1599.207
  1368.212    1608.743
  1370.520    1618.288
  1372.585    1627.529
  1374.701    1636.734
  1376.713    1645.710
  1378.611    1654.400
  1380.486    1663.108
  1382.225    1671.616
  1383.954    1679.782
  1385.639    1687.926
  1387.239    1695.939
  1388.755    1703.758
  1390.312    1711.529
  1391.859    1719.227
  1393.238    1726.678
  1394.630    1733.882
  1395.973    1741.091
  1397.271    1748.176
  1398.544    1755.212
  1399.727    1762.010
  1400.975    1768.775
  1402.205    1775.449
  1403.405    1782.287
  1404.473    1788.743
  1405.574    1795.156
  1406.596    1801.502
  1407.686    1807.777
  1408.622    1813.836
  1409.736    1820.076
  1410.649    1825.883
  1411.515    1831.601
  1412.496    1837.542
  1413.402    1843.118
  1414.328    1848.782
  1415.136    1854.369
  1415.940    1859.885
  1416.745    1865.341
  1417.591    1870.567
  1418.391    1875.831
  1419.176    1880.943
  1419.955    1886.053
  1420.653    1891.157
  1421.393    1896.054
  1422.054    1900.886
  1422.834    1905.690
  1423.474    1910.523
  1424.157    1914.976
  1424.809    1919.510
  1425.461    1924.041
  1426.046    1928.587
  1426.629    1932.868
  1427.184    1937.115
  1427.814    1941.331
  1428.410    1945.528
  1428.985    1949.667
  1429.545    1953.758
  1430.109    1957.697
  1430.708    1961.604
  1431.277    1965.449
  1431.782    1969.207
  1432.304    1972.942
  1432.866    1976.683
  1433.385    1980.291
  1433.929    1983.964
  1434.428    1987.511
  1434.987    1990.987
  1435.475    1994.404
  1435.957    1997.687
  1436.439    2000.992
  1436.927    2004.208
  1437.463    2007.453
  1437.889    2010.559
  1438.368    2013.665
  1438.821    2016.677
  1439.277    2019.627
  1439.730    2022.535
  1440.191    2025.415
  1440.553    2028.124
  1441.060    2030.799
  1441.401    2033.570
  1441.885    2036.187
  1442.330    2038.775
  1442.688    2041.376
  1443.129    2043.910
  1443.473    2046.339
  1443.872    2048.735
  1444.237    2051.151
  1444.664    2053.483
  1444.989    2055.849
  1445.359    2058.098
  1445.750    2060.303
  1446.076    2062.527
  1446.413    2064.672
  1446.796    2066.825
  1447.163    2068.889
  1447.467    2070.999
  1447.818    2072.973
  1448.190    2074.948
  1448.529    2076.872
  1448.811    2078.811
  1449.166    2080.709
  1449.452    2082.548
  1449.765    2084.342
  1450.120    2086.125
  1450.385    2087.892
  1450.654    2089.704
  1450.959    2091.428
  1451.250    2093.070
  1451.570    2094.737
  1451.856    2096.388
  1452.098    2098.024
  1452.427    2099.532
  1452.691    2101.176
  1452.952    2102.639
  1453.216    2104.174
  1453.401    2105.602
  1453.689    2107.074
  1453.981    2108.427
  1454.264    2109.788
  1454.520    2111.213
  1454.785    2112.620
  1455.009    2113.924
  1455.264    2115.254
  1455.511    2116.544
  1455.748    2117.803
  1455.982    2119.042
  1456.127    2120.269
  1456.418    2121.472
  1456.619    2122.568
  1456.896    2123.793
  1457.108    2124.969
  1457.311    2126.082
  1457.475    2127.142
  1457.763    2128.254
  1457.974    2129.315
  1458.180    2130.297
  1458.383    2131.347
  1458.562    2132.321
  1458.748    2133.290
  1458.979    2134.241
  1459.151    2135.210
  1459.316    2136.149
  1459.523    2137.157
  1459.708    2138.087
  1459.887    2138.978
  1460.072    2139.864
  1460.287    2140.717
  1460.480    2141.588
  1460.639    2142.332
  1460.836    2143.175
  1460.966    2143.874
  1461.190    2144.671
  1461.351    2145.460
  1461.511    2146.248
  1461.633    2146.978
  1461.826    2147.733
  1461.967    2148.457
  1462.118    2149.180
  1462.274    2149.881
  1462.428    2150.600
  1462.593    2151.313
  1462.589    2151.751
