Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress
	MPa		MPa		MPa		MPa		MPa		MPa		MPa		MPa		MPa		MPa
	FCC111		FCC311		BCC110		BCC211		FCC200		FCC220		FCC331		BCC321		BCC220		BCC200
0	1.35518956088297	0	1.35518956088297	0	1.35518956088297	0	1.35518956088297	0	1.35518956088297	0	1.35518956088297	0	1.35518956088297	0	1.35518956088297	0	1.35518956088297	0	1.355189561
-5.9731977E-5	1.350285000792	6.4532426E-6	1.350285000792	1.1390308E-4	1.350285000792	5.3827383E-5	1.350285000792	-3.9997E-5	1.350285000792	0	1.350285000792	7.5135304E-5	1.350285000792	3.5238381E-5	1.350285000792	-2.2686137E-5	1.350285000792	2.05013E-4	1.350285001
1.3102498E-4	26.2457727911825	1.7884701E-4	26.2457727911825	2.5048816E-4	26.2457727911825	1.6319096E-4	26.2457727911825	4.1441336E-4	26.2457727911825	4.7974003E-5	26.2457727911825	1.6117735E-4	26.2457727911825	2.3883792E-4	26.2457727911825	4.1426859E-4	26.2457727911825	5.04164E-4	26.24577279
3.3237955E-4	77.1540324668076	4.4711752E-4	77.1540324668076	4.6300862E-4	77.1540324668076	4.8444645E-4	77.1540324668076	7.2327909E-4	77.1540324668076	4.2390143E-4	77.1540324668076	4.5323554E-4	77.1540324668076	3.5107869E-4	77.1540324668076	2.9985155E-4	77.1540324668076	8.66074E-4	77.15403247
5.8142336E-4	127.425078177211	7.3751344E-4	127.425078177211	7.3765803E-4	127.425078177211	6.6985188E-4	127.425078177211	8.2993775E-4	127.425078177211	5.686099E-4	127.425078177211	6.3259079E-4	127.425078177211	8.3005964E-4	127.425078177211	6.1548477E-4	127.425078177211	6.33169E-4	127.4250782
8.1168049E-4	177.045632105004	0.0010426596	177.045632105004	0.0010093489	177.045632105004	9.5180484E-4	177.045632105004	0.0011460252	177.045632105004	7.7308926E-4	177.045632105004	9.6100478E-4	177.045632105004	9.7753879E-4	177.045632105004	0.001062303	177.045632105004	0.001877192	177.0456321
9.9617523E-4	228.397030233729	0.0012500853	228.397030233729	0.0011612197	228.397030233729	0.0011508807	228.397030233729	0.0017470912	228.397030233729	0.0010113864	228.397030233729	0.0010688603	228.397030233729	0.0012972945	228.397030233729	0.0011925017	228.397030233729	0.002419709	228.3970302
0.0012548532	278.616355480502	0.0016492644	278.616355480502	0.0016084495	278.616355480502	0.0014294161	278.616355480502	0.0020987315	278.616355480502	0.0013975378	278.616355480502	0.001253063	278.616355480502	0.0013299226	278.616355480502	0.0017014603	278.616355480502	0.0025522	278.6163555
