Model data for ODB:  J_8000.odb

Extracting lattice strain along LD
     0.000       0.000
   193.773     191.724
   385.346     379.618
   577.289     566.936
   768.398     753.223
   940.535     923.337
  1052.442    1042.468
  1116.646    1114.158
  1156.748    1161.199
  1184.660    1197.141
  1205.177    1226.084
  1221.336    1250.613
  1234.801    1272.714
  1246.537    1293.417
  1256.921    1312.416
  1266.260    1330.237
  1274.650    1347.376
  1282.462    1363.551
  1289.923    1378.607
  1296.886    1392.793
  1303.578    1406.487
  1309.902    1419.517
  1315.866    1432.100
  1321.540    1444.473
  1326.974    1456.672
  1332.239    1468.497
  1337.428    1479.940
  1342.486    1490.905
  1347.382    1501.557
  1352.150    1511.877
  1356.807    1521.838
  1361.443    1531.616
  1365.967    1541.095
  1370.403    1550.455
  1374.736    1559.515
  1379.024    1568.399
  1383.250    1577.145
  1387.408    1585.705
  1391.499    1594.159
  1395.558    1602.435
  1399.550    1610.556
  1403.486    1618.551
  1407.315    1626.463
  1411.071    1634.252
  1414.768    1641.875
  1418.388    1649.327
  1421.975    1656.720
  1425.555    1664.010
  1429.034    1671.220
  1432.445    1678.295
  1435.816    1685.238
  1439.126    1691.946
  1442.426    1698.549
  1445.685    1705.001
  1448.891    1711.351
  1452.096    1717.559
  1455.280    1723.692
  1458.397    1729.752
  1461.490    1735.619
  1464.580    1741.421
  1467.623    1747.141
  1470.642    1752.736
  1473.621    1758.263
  1476.575    1763.647
  1479.508    1768.895
  1482.396    1774.107
  1485.265    1779.236
  1488.078    1784.298
  1490.875    1789.236
  1493.636    1794.096
  1496.367    1798.870
  1499.084    1803.553
  1501.754    1808.133
  1504.393    1812.605
  1507.013    1816.973
  1509.619    1821.255
  1512.169    1825.458
  1514.691    1829.569
  1517.190    1833.642
  1519.635    1837.609
  1522.055    1841.559
  1524.448    1845.460
  1526.790    1849.292
  1529.101    1853.014
  1531.403    1856.774
  1533.660    1860.438
  1535.870    1864.051
  1538.086    1867.635
  1540.271    1871.184
  1542.436    1874.631
  1544.592    1878.035
  1546.722    1881.362
  1548.845    1884.635
  1550.899    1887.855
  1552.937    1891.003
  1554.948    1894.092
  1556.941    1897.120
  1558.914    1900.106
  1560.865    1903.071
  1562.800    1905.987
  1564.730    1908.866
  1566.629    1911.696
  1568.507    1914.450
  1570.374    1917.190
  1572.206    1919.828
  1574.046    1922.384
  1575.842    1924.866
  1577.611    1927.332
  1579.371    1929.708
  1581.094    1932.047
  1582.807    1934.341
  1584.509    1936.567
  1586.167    1938.762
  1587.802    1940.916
  1589.428    1943.006
  1591.043    1945.038
  1592.653    1947.031
  1594.233    1948.959
  1595.798    1950.876
  1597.342    1952.784
  1598.858    1954.577
  1600.366    1956.336
  1601.867    1958.064
  1603.362    1959.775
  1604.828    1961.478
  1606.287    1963.098
  1607.754    1964.681
  1609.197    1966.177
  1610.623    1967.651
  1612.062    1969.100
  1613.468    1970.504
  1614.870    1971.882
  1616.261    1973.208
  1617.645    1974.472
  1619.014    1975.688
  1620.371    1976.908
  1621.711    1978.147
  1623.057    1979.336
  1624.403    1980.510
  1625.714    1981.624
  1627.020    1982.715
  1628.318    1983.775
  1629.605    1984.816
  1630.884    1985.821
  1632.153    1986.761
  1633.401    1987.700
  1634.615    1988.642
  1635.809    1989.520
  1636.974    1990.350
  1638.127    1991.160
  1639.274    1991.940
  1640.402    1992.694
  1641.516    1993.429
  1642.605    1994.152
  1643.680    1994.837
  1644.750    1995.539
  1645.812    1996.215
  1646.857    1996.896
  1647.887    1997.556
  1648.907    1998.206
  1649.889    1998.834
  1650.900    1999.425
  1651.919    2000.008
  1652.938    2000.588
  1653.955    2001.146
  1654.976    2001.684
  1655.992    2002.200
  1656.993    2002.725
  1657.979    2003.220
  1658.955    2003.711
  1659.914    2004.188
  1660.865    2004.635
  1661.798    2005.098
  1662.735    2005.518
  1663.669    2005.907
  1664.582    2006.292
  1665.463    2006.648
  1666.340    2007.034
  1667.216    2007.367
  1668.065    2007.678
  1668.916    2007.965
  1669.764    2008.229
  1670.592    2008.486
  1671.399    2008.762
  1672.199    2009.008
  1672.970    2009.253
  1673.730    2009.482
  1674.471    2009.722
  1675.198    2009.986
  1675.908    2010.212
  1676.598    2010.456
  1677.272    2010.660
  1677.913    2010.871
  1678.548    2011.048
  1679.143    2011.187
  1679.713    2011.286
  1680.272    2011.338
  1680.807    2011.322
  1681.313    2011.265
  1681.786    2011.187
  1682.197    2011.078
